site_id,name,district,lat,lon,shape_id
ADM3_LalmonirhatSadar,Lalmonirhat Sadar,,25.8747,89.4527,5055444B31815132153948
ADM3_Lalpur,Lalpur,,24.1983,88.9849,5055444B7503946702912
ADM3_Lama,Lama,,21.8181,92.2076,5055444B8807227421792
ADM3_Langadu,Langadu,,22.9505,92.2089,5055444B82968761851300
ADM3_Lohagara_836566,Lohagara,,21.9862,92.111,5055444B32629504836566
ADM3_Lohagara_691580,Lohagara,,23.2048,89.6234,5055444B42901183691580
ADM3_Lohajang,Lohajang,,23.4706,90.3413,5055444B16433505042831
ADM3_Madan,Madan,,24.6775,90.9669,5055444B11405319731642
ADM3_Madarganj,Madarganj,,24.8819,89.7408,5055444B83620057326875
ADM3_MadaripurSadar,Madaripur Sadar,,23.1938,90.175,5055444B75961082304780
ADM3_Madhabpur,Madhabpur,,24.1205,91.3415,5055444B26771557951521
ADM3_Madhukhali,Madhukhali,,23.5409,89.612,5055444B21452508615420
ADM3_Madhupur,Madhupur,,24.6502,90.0602,5055444B31553273158599
ADM3_MaguraSadar,Magura Sadar,,23.4519,89.4131,5055444B78521168573013
ADM3_Mahadebpur,Mahadebpur,,24.9199,88.7647,5055444B79967096461469
ADM3_Mahalchhari,Mahalchhari,,22.9515,92.0232,5055444B90687829441345
ADM3_Maheshkhali,Maheshkhali,,21.6094,91.9218,5055444B67374732574136
ADM3_Maheshpur,Maheshpur,,23.3197,88.8578,5055444B40942545652713
ADM3_Manda,Manda,,24.7444,88.713,5055444B25908372106798
ADM3_Manikchhari,Manikchhari,,22.8412,91.8191,5055444B84634680798783
ADM3_ManikganjSadar,Manikganj Sadar,,23.8357,90.0305,5055444B26017737484602
ADM3_Manirampur,Manirampur,,23.0062,89.2202,5055444B69742529684169
ADM3_Manohardi,Manohardi,,24.1607,90.7304,5055444B30201395073710
ADM3_Manoharganj,Manoharganj,,23.1402,91.067,5055444B22432577988520
ADM3_Manpura,Manpura,,22.2002,90.9548,5055444B7100787207450
ADM3_Mathbaria,Mathbaria,,22.2853,89.9507,5055444B80501500491091
ADM3_Matihar,Matihar,,24.3676,88.6468,5055444B51642868289665
ADM3_Matiranga,Matiranga,,23.1044,91.8548,5055444B50883090324101
ADM3_MatlabDakshin,Matlab Dakshin,,23.3501,90.7475,5055444B79931584238091
ADM3_MatlabUttar,Matlab Uttar,,23.4145,90.642,5055444B59303037542676
ADM3_MaulviBazarSadar,Maulvi Bazar Sadar,,24.4995,91.7123,5055444B59699637370048
ADM3_Meghna,Meghna,,23.6248,90.6909,5055444B22662076450588
